Date,ID,Title,Artist,ISRC,Playcount,,
23/07/2021,1088512231,Blxst & Bino Rideaux - Stressful,Blxst,,26537,,
23/07/2021,1088512282,Blxst & Bino Rideaux - Hate How Much,Blxst,,25789,,
23/07/2021,1087269541,295 SIDHU,MOOSETAPE,,402771,,
23/07/2021,1088512210,Blxst & Bino Rideaux - Time Will Only Tell,Blxst,,27336,,
23/07/2021,1088512318,Blxst & Bino Rideaux - Accountable,Blxst,,24562,,
23/07/2021,1086999655,Ocean flow ft Trippie Redd,Slimesito,,52237,,
23/07/2021,1086999211,Bad boy,Slimesito,,52326,,
23/07/2021,1085558044,my potna dem - $ilk money,kodzuken,,178665,,
23/07/2021,1085005684,Yvngxchris - Blood On The Leaves,ARCHANGEL,,255560,,
23/07/2021,1088512189,Blxst & Bino Rideaux - Beginning To The Ending,Blxst,,23681,,
23/07/2021,1086999250,Uncle Fulo,Slimesito,,50233,,
23/07/2021,1088512276,Blxst & Bino Rideaux - She Perfect,Blxst,,23396,,
23/07/2021,1088229352,Ap Dhillon - Ma Belle (Official Audio),Ap Dhillon,,242387,,
23/07/2021,1089504526,Juice WRLD - Lovers Lane,Zen WRLD,,32129,,
23/07/2021,1090232725,Boosie & Webbie (Prod. ChrisSaves),Kaine,,15274,,
23/07/2021,1088512420,Blxst & Bino Rideaux - Movie,Blxst,,23461,,
23/07/2021,1086999175,Hurricane,Slimesito,,50350,,
23/07/2021,1086999892,Living to Slime,Slimesito,,45710,,
23/07/2021,1087772329,Juice WRLD- Adore You (CDQ Remaster Unreleased),WRLD of Juice Vault,,39140,,
23/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1184211,,
23/07/2021,1088716336,King Von & Polo G - Lurkin 2.0,Polo G,,52179,,
23/07/2021,1089856579,Heart Clean,Tay Ball,,20049,,
23/07/2021,1085438422,M&M,Ken Carson,,176203,,
23/07/2021,1085991019,The Kid LAROI & Justin Bieber - STAY (Colin Hennerz remix),Colin Hennerz | EXTRAS,,171934,,
23/07/2021,1085397379,How I Been,Lil Mosey,,178332,,
23/07/2021,1088512252,Blxst & Bino Rideaux - What Is It,Blxst,,19500,,
23/07/2021,1086418204,KALIQ X KAY FLOCK - PANIC,?BallForMine MUSIC,,47855,,
23/07/2021,1087570210,bad_weather (splashgvng x milodrama),sewerperson,,30469,,
23/07/2021,1090428028,Kodak Black - Senseless (Fast),DJ Frisco Kodak,,30264,,
23/07/2021,1088884462,Glock,Tay Ball,,23158,,
23/07/2021,1087114606,Pouya & Kxllswxtch  - Burn,Pouya .,,39377,,
23/07/2021,1086999952,Damn,Slimesito,,41309,,
23/07/2021,1089057088,last friday night <3,heavensspyro (@xtretre),,25326,,
23/07/2021,1086999574,Hyper Glock,Slimesito,,43002,,
23/07/2021,1090607350,KodakBlack-Senseless[Official Audio],Florida mixes,,67823,,
23/07/2021,1090537642,do the most ,Destroylonely,,51126,,
23/07/2021,1090512334,Kodak Black - Senseless (FAST),DJ Fetti Fee Kodak Black,,48522,,
23/07/2021,1090536235,okay ya!,Destroylonely,,42359,,
23/07/2021,1090536016,tokyoto,Destroylonely,,38211,,
23/07/2021,1090535437,i got em,Destroylonely,,36856,,
23/07/2021,1090531087,ok / what i do,Destroylonely,,33510,,
23/07/2021,1090362193,Like Dat,Soldier Kidd,,35659,,
23/07/2021,1090102813,King Von - Wicc City (UNRELEASED),alen.kt,,33068,,
23/07/2021,1090649542,$uede - Rewind,SANBERNARDINOFOO,,20648,,
23/07/2021,1090651396,Another One,Tay Ball,,16442,,
23/07/2021,1090651693,Rotate,Tay Ball,,14539,,
23/07/2021,1090557217,My Shit,Bizzy Banks,,29190,,
23/07/2021,1090523287,Baby Smoove - Hustler Muzic,wolerya,,13034,,
23/07/2021,1090361875,Iron On Me - Juice WRLD (CDQ Snippet),wrld~,,16272,,
23/07/2021,1089547555,Lovers Lane,Juice WRLD,,17370,,
23/07/2021,1081426348,You & Me (GRiMM DOZA),BoofPaxkMooky,,11101,,
23/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,1742401,,
23/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,547586,,
23/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,500480,,
